# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
1.000000000000000021e-02,1.193147217699335736e-07,3.900571859275218782e-10,3.900571859275218782e-10
1.011608643249580809e-02,1.192734157937357634e-07,3.945852210710626520e-10,3.945852210710626520e-10
1.023352047097257980e-02,1.192321241173967465e-07,3.991658205791415818e-10,3.991658205791415301e-10
1.035231775930738757e-02,1.191908467359659726e-07,4.037995946536487206e-10,4.037995946536487206e-10
1.047249412298148670e-02,1.191495836444946253e-07,4.084871605801340414e-10,4.084871605801340414e-10
1.059406557118850942e-02,1.191083348380356483e-07,4.132291428100413914e-10,4.132291428100413914e-10
1.071704829896710960e-02,1.190671003116436397e-07,4.180261730438969087e-10,4.180261730438968570e-10
1.084145868935834991e-02,1.190258800603749183e-07,4.228788903154623453e-10,4.228788903154623453e-10
1.096731331558817822e-02,1.189846740792875365e-07,4.277879410768674102e-10,4.277879410768674102e-10
1.109462894327521883e-02,1.189434823634413069e-07,4.327539792847293006e-10,4.327539792847293006e-10
1.122342253266417865e-02,1.189023049078976569e-07,4.377776664872718809e-10,4.377776664872719326e-10
1.135371124088518924e-02,1.188611417077197212e-07,4.428596719124566073e-10,4.428596719124566073e-10
1.148551242423937954e-02,1.188199927579724475e-07,4.480006725571364680e-10,4.480006725571364680e-10
1.161884364051100210e-02,1.187788580537224116e-07,4.532013532772463281e-10,4.532013532772463281e-10
1.175372265130636071e-02,1.187377375900379098e-07,4.584624068790384187e-10,4.584624068790384187e-10
1.189016742441989863e-02,1.186966313619889587e-07,4.637845342113777016e-10,4.637845342113777016e-10
1.202819613622777527e-02,1.186555393646472694e-07,4.691684442591095710e-10,4.691684442591094676e-10
1.216782717410922962e-02,1.186144615930862466e-07,4.746148542375114199e-10,4.746148542375114199e-10
1.230907913889602370e-02,1.185733980423810158e-07,4.801244896878403762e-10,4.801244896878403762e-10
1.245197084735033197e-02,1.185323487076084627e-07,4.856980845739898224e-10,4.856980845739898224e-10
1.259652133467140112e-02,1.184913135838470745e-07,4.913363813802690200e-10,4.913363813802690200e-10
1.274274985703133418e-02,1.184502926661771249e-07,4.970401312103191249e-10,4.970401312103191249e-10
1.289067589414026431e-02,1.184092859496805158e-07,5.028100938871752618e-10,5.028100938871751584e-10
1.304031915184131543e-02,1.183682934294409354e-07,5.086470380544912002e-10,5.086470380544912002e-10
1.319169956473571596e-02,1.183273151005437001e-07,5.145517412789404888e-10,5.145517412789404888e-10
1.334483729883838288e-02,1.182863509580758865e-07,5.205249901538058349e-10,5.205249901538058349e-10
1.349975275426430407e-02,1.182454009971262122e-07,5.265675804037709965e-10,5.265675804037709965e-10
1.365646656794611107e-02,1.182044652127851553e-07,5.326803169909287349e-10,5.326803169909287349e-10
