# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
1.000000000000000021e-02,9.050947230551795315e-08,4.108429991790928025e-10,4.108429991790928025e-10
1.011608643249580809e-02,9.054081694408511959e-08,4.156123286655118063e-10,4.156123286655118063e-10
1.023352047097257980e-02,9.057217243771908589e-08,4.204370235811170161e-10,4.204370235811170161e-10
1.035231775930738757e-02,9.060353879017907692e-08,4.253177266426926888e-10,4.253177266426926888e-10
1.047249412298148670e-02,9.063491600522568075e-08,4.302550880280579960e-10,4.302550880280579960e-10
1.059406557118850942e-02,9.066630408662074273e-08,4.352497654626783667e-10,4.352497654626783667e-10
1.071704829896710960e-02,9.069770303812743173e-08,4.403024243072815945e-10,4.403024243072815945e-10
1.084145868935834991e-02,9.072911286351018717e-08,4.454137376464898791e-10,4.454137376464899308e-10
1.096731331558817822e-02,9.076053356653478517e-08,4.505843863784830502e-10,4.505843863784830502e-10
1.109462894327521883e-02,9.079196515096835184e-08,4.558150593057014558e-10,4.558150593057014558e-10
1.122342253266417865e-02,9.082340762057921763e-08,4.611064532266010225e-10,4.611064532266010742e-10
1.135371124088518924e-02,9.085486097913703651e-08,4.664592730284739845e-10,4.664592730284739845e-10
1.148551242423937954e-02,9.088632523041282563e-08,4.718742317813468589e-10,4.718742317813469623e-10
1.161884364051100210e-02,9.091780037817891239e-08,4.773520508329695769e-10,4.773520508329695769e-10
1.175372265130636071e-02,9.094928642620884180e-08,4.828934599049050224e-10,4.828934599049049190e-10
1.189016742441989863e-02,9.098078337827757503e-08,4.884991971897349035e-10,4.884991971897348001e-10
1.202819613622777527e-02,9.101229123816126434e-08,4.941700094493943635e-10,4.941700094493944669e-10
1.216782717410922962e-02,9.104381000963747817e-08,4.999066521146484108e-10,4.999066521146484108e-10
1.230907913889602370e-02,9.107533969648500255e-08,5.057098893857212326e-10,5.057098893857212326e-10
1.245197084735033197e-02,9.110688030248405287e-08,5.115804943340945206e-10,5.115804943340945206e-10
1.259652133467140112e-02,9.113843183141599597e-08,5.175192490054875287e-10,5.175192490054876321e-10
1.274274985703133418e-02,9.116999428706364129e-08,5.235269445240332328e-10,5.235269445240332328e-10
1.289067589414026431e-02,9.120156767321102911e-08,5.296043811976617618e-10,5.296043811976617618e-10
1.304031915184131543e-02,9.123315199364354967e-08,5.357523686247078480e-10,5.357523686247078480e-10
1.319169956473571596e-02,9.126474725214789024e-08,5.419717258017560509e-10,5.419717258017561543e-10
1.334483729883838288e-02,9.129635345251203509e-08,5.482632812327384348e-10,5.482632812327384348e-10
1.349975275426430407e-02,9.132797059852533169e-08,5.546278730392963864e-10,5.546278730392964898e-10
1.365646656794611107e-02,9.135959869397837160e-08,5.610663490724245612e-10,5.610663490724246646e-10
1.381499961638322366e-02,9.139123774266312280e-08,5.675795670254110225e-10,5.675795670254110225e-10
1.397537301842291003e-02,9.142288774837281059e-08,5.741683945480883584e-10,5.741683945480883584e-10
1.413760813807360579e-02,9.145454871490199698e-08,5.808337093624098383e-10,5.808337093624098383e-10
1.430172658735088045e-02,9.148622064604655425e-08,5.875763993793669466e-10,5.875763993793669466e-10
1.446775022915647996e-02,9.151790354560371787e-08,5.943973628172648362e-10,5.943973628172648362e-10
