# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
1.000000000000000021e-03,1.043818260309907986e+00,9.596687084139460255e-01
1.028895190478161178e-03,1.043786358615227838e+00,9.596959275055647609e-01
1.058625312989092647e-03,1.043752708408724139e+00,9.597246719915959456e-01
1.089214493052915577e-03,1.043717269204283982e+00,9.597549930464848167e-01
1.120687553301254625e-03,1.043679981362332532e+00,9.597869443161602954e-01
1.153070033620398746e-03,1.043640687875028616e+00,9.598206410781013886e-01
1.186388211876521128e-03,1.043599279253441647e+00,9.598561645424328326e-01
1.220669125239738249e-03,1.043555656562968004e+00,9.598935762122262627e-01
1.255940592124352249e-03,1.043509659629548780e+00,9.599329787141996917e-01
1.292231234763039976e-03,1.043461190028677210e+00,9.599745034023577928e-01
1.329570502433348803e-03,1.043410219814457252e+00,9.600182059599127182e-01
1.367988695355305123e-03,1.043356691395348923e+00,9.600641473031196194e-01
1.407516989279569220e-03,1.043300403851578961e+00,9.601124646924067418e-01
1.448187460786050460e-03,1.043241202363038633e+00,9.601632509464953502e-01
1.490033113313549498e-03,1.043178942451302715e+00,9.602165777747178055e-01
1.533087903941512172e-03,1.043113429013853732e+00,9.602725708522714676e-01
1.577386770945668698e-03,1.043044585173685146e+00,9.603314151158542922e-01
1.622965662149875379e-03,1.042972410079485490e+00,9.603932333679408018e-01
1.669861564097212866e-03,1.042896864725266992e+00,9.604581555127578163e-01
1.718112532063962054e-03,1.042817730444568491e+00,9.605263486255484207e-01
1.767757720940867777e-03,1.042734817680782244e+00,9.605978649802068281e-01
1.818837417006694381e-03,1.042647944736909693e+00,9.606727317852512549e-01
1.871393070619911453e-03,1.042556886292764995e+00,9.607510336906984749e-01
1.925467329854984840e-03,1.042461532340532848e+00,9.608329352489541897e-01
1.981104075110623041e-03,1.042361834546075894e+00,9.609185630421535063e-01
2.038348454718006027e-03,1.042257715745739333e+00,9.610080518250322390e-01
2.097246921577950330e-03,1.042149012060263225e+00,9.611015785413784540e-01
2.157847270856682632e-03,1.042035619603959962e+00,9.611992419648714980e-01
2.220198678770868989e-03,1.041917440021143726e+00,9.613011242715950866e-01
2.284351742493315098e-03,1.041794334718005421e+00,9.614073306160607624e-01
2.350358521211781508e-03,1.041666182902844628e+00,9.615179677134426672e-01
2.418272578374164924e-03,1.041532885010216569e+00,9.616331143747611776e-01
2.488149025154403129e-03,1.041394337771675005e+00,9.617528520922012936e-01
2.560044565174291083e-03,1.041250448254986694e+00,9.618772769934823552e-01
2.634017540517586201e-03,1.041101152760129711e+00,9.620064708671447473e-01
2.710127979073659495e-03,1.040946390063420823e+00,9.621405123509048085e-01
2.788437643249189971e-03,1.040786121255218299e+00,9.622794578925253361e-01
2.869010080087350343e-03,1.040620292790524593e+00,9.624233210293520191e-01
2.951910672835241813e-03,1.040448839989190244e+00,9.625721152874555653e-01
3.037206694001333158e-03,1.040271721835262619e+00,9.627258477197707665e-01
3.124967359946051026e-03,1.040088955888873290e+00,9.628845193716534245e-01
3.215263887049728698e-03,1.039900527811370434e+00,9.630481982864105284e-01
3.308169549503587291e-03,1.039706424059223311e+00,9.632169608534630889e-01
3.403759738770546165e-03,1.039506687515112437e+00,9.633908356107242499e-01
3.502112024764220989e-03,1.039301326497297451e+00,9.635698009090849503e-01
3.603306218795641891e-03,1.039090325733274645e+00,9.637538502419580322e-01
3.707424438338888587e-03,1.038873680955762158e+00,9.639429725941406346e-01
3.814551173668080577e-03,1.038651396713112129e+00,9.641371480485136924e-01
3.924773356419917342e-03,1.038423450913310342e+00,9.643363870320693643e-01
4.038180430137283151e-03,1.038189815894112966e+00,9.645407040751362571e-01
4.154864422851287271e-03,1.037950405120359187e+00,9.647501676371588175e-01
4.274920021760510690e-03,1.037705193443309026e+00,9.649648603407521286e-01
4.398444650068189868e-03,1.037454182892247889e+00,9.651848361155309641e-01
4.525538546039559011e-03,1.037197282632207784e+00,9.654101835416314392e-01
4.656304844343637540e-03,1.036934271060498736e+00,9.656410855562458373e-01
4.790849659745331952e-03,1.036665060889407686e+00,9.658775861212215430e-01
4.929282173215912208e-03,1.036389542681737330e+00,9.661197162877744882e-01
5.071714720531590725e-03,1.036107307813391998e+00,9.663677493747994118e-01
5.218262883432250518e-03,1.035818177179298250e+00,9.666219780545254325e-01
5.369045583414144493e-03,1.035522073439534285e+00,9.668825767079743949e-01
5.524185178232832172e-03,1.035218723144603281e+00,9.671497992638345975e-01
5.683807561194504851e-03,1.034907672441925941e+00,9.674240547198417195e-01
5.848042263316438442e-03,1.034588753167832609e+00,9.677054453021650682e-01
6.017022558439303823e-03,1.034261770263803948e+00,9.679940512074982628e-01
6.190885571376807117e-03,1.033926239957727367e+00,9.682902165643934023e-01
6.369772389190240039e-03,1.033581951351652428e+00,9.685942867752409535e-01
6.553828175678430394e-03,1.033228787727697329e+00,9.689064968731357919e-01
6.743202289175798982e-03,1.032866467829335111e+00,9.692271474215714555e-01
6.938048403754313448e-03,1.032494585460400627e+00,9.695566098748474859e-01
